Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-13 19:45:18,2023-11-13 19:50:06,"4m - 47,585s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-1-LoginValido,Chrome 119.0.0.0,,,2023-11-13 19:45:20,2023-11-13 19:45:56,"35,913s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:45:23,2023-11-13 19:45:41,"17,357s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:45:41,2023-11-13 19:45:43,"2,171s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:45:43,2023-11-13 19:45:46,"2,868s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:45:46,2023-11-13 19:45:47,"1,694s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:45:47,2023-11-13 19:45:49,"1,998s",PASSED
"verifyTextPresent(""Products"", false, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:45:49,2023-11-13 19:45:51,"1,027s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen1.png"")",Chrome 119.0.0.0,,,2023-11-13 19:45:51,2023-11-13 19:45:51,"0,784s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:45:51,2023-11-13 19:45:53,"2,184s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:45:53,2023-11-13 19:45:56,"2,108s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-2-A-LoginInvalidoPresionandoEnElBotónLoginConSoloCampoPasswordCompletado,Chrome 119.0.0.0,,,2023-11-13 19:45:56,2023-11-13 19:46:15,"19,275s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:45:58,2023-11-13 19:46:05,"6,448s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:46:05,2023-11-13 19:46:07,"2,144s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:46:07,2023-11-13 19:46:09,"2,418s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:46:09,2023-11-13 19:46:11,"1,413s",PASSED
"verifyTextPresent(""Epic sadface: Username is required"", false)",Chrome 119.0.0.0,,,2023-11-13 19:46:11,2023-11-13 19:46:11,"0,568s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen2A.png"")",Chrome 119.0.0.0,,,2023-11-13 19:46:11,2023-11-13 19:46:12,"0,520s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:46:12,2023-11-13 19:46:14,"2,023s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:46:14,2023-11-13 19:46:15,"1,288s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-2-B-LoginInvalidoPresionandoEnElBotónLoginConSoloCampoUsuarioCompletado,Chrome 119.0.0.0,,,2023-11-13 19:46:15,2023-11-13 19:46:32,"16,726s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:46:17,2023-11-13 19:46:22,"5,559s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:46:22,2023-11-13 19:46:24,"1,662s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:46:24,2023-11-13 19:46:26,"2,202s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:46:26,2023-11-13 19:46:27,"0,919s",PASSED
"verifyTextPresent(""Epic sadface: Password is required"", false)",Chrome 119.0.0.0,,,2023-11-13 19:46:27,2023-11-13 19:46:28,"0,470s",PASSED
"takeScreenshot(""C:\Users\Usuario\Documents\Facultad\screen2B.png"")",Chrome 119.0.0.0,,,2023-11-13 19:46:28,2023-11-13 19:46:28,"0,585s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:46:28,2023-11-13 19:46:30,"2,012s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:46:30,2023-11-13 19:46:32,"1,368s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:46:32,2023-11-13 19:46:54,"21,930s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:46:37,2023-11-13 19:46:42,"5,165s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:46:42,2023-11-13 19:46:45,"2,429s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:46:45,2023-11-13 19:46:47,"2,084s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:46:47,2023-11-13 19:46:48,"1,457s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:46:48,2023-11-13 19:46:49,"1,074s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:46:49,2023-11-13 19:46:50,"0,451s",PASSED
takeScreenshot(SCREENSHOT),Chrome 119.0.0.0,,,2023-11-13 19:46:50,2023-11-13 19:46:50,"0,463s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:46:50,2023-11-13 19:46:52,"2,018s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:46:52,2023-11-13 19:46:54,"1,485s",PASSED
,,,,,,,
